Date,Mkt-RF,SMB,HML
20160316,0.0063,0.0011,-0.001
20160317,0.0072,0.0083,0.0059
20160318,0.0054,0.0037,-0.0015
20160321,0.001,-0.0021,-0.0032
20160322,-0.0005,-0.0001,-0.0044
20160323,-0.0086,-0.0117,-0.0015
20160324,0,0.0048,-0.0007
20160328,0.0004,-0.0003,0.0016
20160329,0.0107,0.018,-0.012
20160330,0.0041,-0.0029,0.0016
20160331,-0.0011,0.0045,-0.0048
20160401,0.0064,-0.0024,-0.0062
20160404,-0.0041,-0.0021,-0.008
20160405,-0.0094,-0.0009,-0.0038
20160406,0.0114,0.0022,-0.0076
20160407,-0.0123,-0.0005,-0.0038
20160408,0.0029,0.0002,0.0068
20160411,-0.0028,-0.0012,0.0096
20160412,0.0099,-0.0007,0.0087
20160413,0.0123,0.0087,0.0038
20160414,0.0003,-0.0025,0.0014
20160415,-0.0004,0.0034,-0.0034
20160418,0.0065,0.0011,-0.0019
20160419,0.0029,-0.0037,0.0148
20160420,0.0015,-0.001,0.0058
20160421,-0.0047,0.0011,-0.006
20160422,0.0012,0.0082,0.0052
20160425,-0.0024,-0.0058,-0.0017
20160426,0.0029,0.0066,0.008
20160427,0.0021,0.0004,0.0069
20160428,-0.0096,-0.0013,-0.0001
20160429,-0.005,-0.0017,0.0038
20160502,0.0079,0.0002,-0.0038
20160503,-0.0105,-0.0066,-0.0045
20160504,-0.0066,-0.0014,0.0004
20160505,-0.0008,-0.005,0.0006
20160506,0.0038,0.0003,0.0024
20160509,0.0005,0.0039,-0.0147
20160510,0.0126,-0.004,0.005
20160511,-0.0089,-0.0035,0.008
20160512,-0.0011,-0.0062,0.0014
20160513,-0.0082,0.0039,-0.0068
20160516,0.0099,0.0029,-0.0023
20160517,-0.0095,-0.008,0.0061
20160518,0.001,0.0013,0.009
20160519,-0.0033,-0.0035,-0.0026
20160520,0.0075,0.009,-0.0027
20160523,-0.0018,0.0025,-0.0032
20160524,0.0143,0.0071,-0.0035
20160525,0.0072,-0.0021,0.0056
20160526,-0.0004,-0.0009,-0.0054
20160527,0.0049,0.0034,-0.0017
20160531,-0.0001,0.0052,-0.0037
20160601,0.002,0.0065,-0.002
20160602,0.0035,0.0033,-0.0058
20160603,-0.0038,-0.0016,-0.0007
20160606,0.006,0.0067,0.0031
20160607,0.0012,0.0016,0.001
20160608,0.0037,0.0045,-0.0009
20160609,-0.0027,-0.004,-0.0024
20160610,-0.0105,-0.0035,-0.0018
20160613,-0.0084,-0.0035,0.0012
20160614,-0.0019,0.0026,-0.0072
20160615,-0.0011,0.0023,-0.0003
20160616,0.0024,-0.0035,-0.0045
20160617,-0.003,-0.0011,0.0095
20160620,0.0071,0.0062,0.0002
20160621,0.0021,-0.0064,0.005
20160622,-0.002,-0.0032,0.0008
20160623,0.0145,0.0051,0.0047
20160624,-0.037,0.0016,-0.0122
20160627,-0.0207,-0.0095,-0.0072
20160628,0.0176,-0.0038,0.0016
20160629,0.018,0.0028,-0.0003
20160630,0.0142,0.0035,0.0042
20160701,0.0024,0.0052,-0.0043
20160705,-0.0085,-0.0063,-0.0137
20160706,0.0062,0.0017,-0.0014
20160707,0.0002,0.0034,-0.0017
20160708,0.016,0.0092,0.0032
20160711,0.0043,0.006,0.0027
20160712,0.0075,0.0062,0.0099
20160713,-0.0005,-0.0052,0.0049
20160714,0.0051,-0.0046,0.0046
20160715,-0.0005,0.0031,0.0001
20160718,0.0025,-0.0002,-0.0013
20160719,-0.0022,-0.0065,0.0004
20160720,0.0048,0.0045,-0.0089
20160721,-0.0038,-0.0004,-0.0004
20160722,0.0048,0.0026,-0.0013
20160725,-0.0027,-0.0005,-0.0023
20160726,0.0013,0.0057,0.0054
20160727,-0.0014,0.0056,-0.0043
20160728,0.0018,-0.0049,-0.0032
20160729,0.0017,-0.0004,0.0001
20160801,-0.0016,0.002,-0.0089
20160802,-0.007,-0.0058,0.0018
20160803,0.0045,0.0049,0.0081
20160804,0.0005,0.0009,-0.0039
20160805,0.0093,0.0042,0.0092
20160808,-0.0006,0.0001,0.0051
20160809,0.0005,-0.0004,-0.0027
20160810,-0.0029,-0.0043,-0.0018
20160811,0.0054,0.0014,0.0002
20160812,-0.0006,0.0009,-0.0017
20160815,0.0039,0.0075,0.0039
20160816,-0.0057,-0.0027,0.0059
20160817,0.0012,-0.0056,0.0025
20160818,0.0032,0.0046,0.0034
20160819,-0.0011,0.0011,-0.0014
20160822,-0.0002,0.0025,-0.004
20160823,0.0027,0.0057,-0.0002
20160824,-0.0056,-0.0049,0.0038
20160825,-0.0008,0.0019,0.0048
20160826,-0.0015,0.0014,-0.001
20160829,0.0053,-0.0008,0.0034
20160830,-0.0014,0.0012,0.0029
20160831,-0.0024,-0.0039,0.0014
20160901,0.0003,0.0014,-0.005
20160902,0.0053,0.004,0.0035
20160906,0.0026,0.0009,-0.0054
20160907,0.0009,0.0063,0.0003
20160908,-0.0018,-0.0001,0.0058
20160909,-0.0247,-0.0057,0.0041
20160912,0.0144,0.0001,-0.0044
20160913,-0.0148,-0.0024,-0.0043
20160914,-0.0008,0.0012,-0.0081
20160915,0.0108,0.003,-0.0032
20160916,-0.0036,0.0033,-0.0045
20160919,0.0005,0.0042,0.0015
20160920,-0.0002,-0.0024,-0.0041
20160921,0.0112,0.0014,0.0033
20160922,0.007,0.0085,-0.0006
20160923,-0.006,-0.001,-0.0021
20160926,-0.0088,-0.0022,-0.0035
20160927,0.0064,-0.0007,-0.0049
20160928,0.0056,0.002,0.011
20160929,-0.0098,-0.0041,0.0052
20160930,0.0088,0.0038,0.0034
20161003,-0.0026,-0.0003,-0.0013
20161004,-0.0046,0.0003,0.0015
20161005,0.0058,0.0029,0.0079
20161006,-0.0006,-0.0026,0.0029
20161007,-0.0038,-0.0051,0.002
20161010,0.0052,0.0056,0.0004
20161011,-0.013,-0.006,0.0045
20161012,0.0006,-0.0024,0.0035
20161013,-0.0042,-0.0068,-0.0064
